iter	Passed	Remaining
309	50563	112543
310	50708	112341
311	50837	112103
312	50961	111855
313	51109	111658
314	51252	111454
315	51422	111307
316	51581	111135
317	51743	110972
318	51911	110820
319	52046	110598
320	52202	110422
321	52334	110194
322	52458	109950
323	52612	109772
324	52746	109550
325	52906	109382
326	53039	109161
327	53178	108950
328	53332	108771
329	53460	108540
330	53608	108351
331	53755	108158
332	53899	107960
333	54046	107768
334	54230	107651
335	54382	107470
336	54514	107249
337	54681	107098
338	54835	106920
339	54978	106722
340	55122	106527
341	55282	106361
342	55465	106240
343	55627	106080
344	55776	105894
345	55897	105655
346	56024	105430
347	56200	105294
348	56338	105089
349	56475	104882
350	56628	104706
351	56754	104479
352	56886	104264
353	57032	104075
354	57180	103890
355	57357	103758
356	57506	103575
357	57669	103418
358	57839	103272
359	57980	103077
360	58106	102853
361	58242	102647
362	58355	102402
363	58500	102215
364	58656	102046
365	58790	101838
366	58923	101630
367	59080	101464
368	59240	101302
369	59404	101147
370	59547	100957
371	59689	100765
372	59824	100562
373	59953	100349
374	60118	100198
375	60282	100042
376	60414	99835
377	60553	99640
378	60701	99461
379	60828	99246
380	60958	99037
381	61093	98836
382	61236	98650
383	61409	98510
384	61542	98307
385	61675	98106
386	61851	97971
387	61990	97778
388	62134	97594
389	62286	97423
390	62442	97257
391	62577	97059
392	62753	96925
393	62907	96755
394	63090	96632
395	63239	96456
396	63388	96279
397	63541	96111
398	63673	95909
